               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.062407,            0.048296,           0.0064307,             0.93709,             0.77731,             0.84157,             0.53857,            0.054548,            0.066184,           0.0057507,            0.008845,            0.008845,            0.008845
                  37,            0.062303,            0.047996,           0.0063232,              0.9383,             0.78168,             0.84279,             0.53439,            0.054667,            0.066524,           0.0058038,            0.008812,            0.008812,            0.008812
                  38,            0.061534,            0.047072,           0.0063489,             0.93526,             0.78469,             0.84451,             0.54211,             0.05425,            0.065989,           0.0057183,            0.008779,            0.008779,            0.008779
                  39,            0.061912,            0.046925,           0.0063512,             0.93156,             0.78097,              0.8356,             0.53187,            0.054665,              0.0662,           0.0056939,            0.008746,            0.008746,            0.008746
                  40,             0.06143,            0.047356,           0.0063269,             0.93666,             0.78573,              0.8465,             0.54304,            0.054072,            0.066367,           0.0057126,            0.008713,            0.008713,            0.008713
                  41,            0.061484,            0.046766,           0.0062963,             0.93775,             0.78061,             0.84083,             0.53569,            0.054181,            0.066308,           0.0057225,             0.00868,             0.00868,             0.00868
                  42,            0.060906,            0.046608,           0.0062991,             0.94074,              0.7802,              0.8439,             0.54403,            0.053745,            0.065846,           0.0057059,            0.008647,            0.008647,            0.008647
                  43,            0.060777,            0.046566,           0.0062846,             0.93683,             0.78394,             0.84276,              0.5413,            0.053811,            0.065806,           0.0056398,            0.008614,            0.008614,            0.008614
                  44,            0.061165,            0.047012,           0.0062452,             0.93548,             0.78946,             0.84477,             0.54218,            0.053911,            0.065605,           0.0056127,            0.008581,            0.008581,            0.008581
                  45,            0.060701,            0.046652,           0.0062088,             0.94297,             0.79034,             0.85234,              0.5548,            0.053376,            0.065499,           0.0056315,            0.008548,            0.008548,            0.008548
                  46,             0.06098,            0.047277,           0.0062346,             0.94457,             0.78463,             0.85025,             0.55127,            0.053603,            0.066194,           0.0056246,            0.008515,            0.008515,            0.008515
                  47,             0.06073,            0.046953,           0.0062299,             0.93813,             0.78526,             0.84768,             0.54332,            0.053964,            0.066502,           0.0056448,            0.008482,            0.008482,            0.008482
                  48,            0.060999,            0.046875,           0.0061944,              0.9392,              0.7866,             0.84608,             0.54568,            0.053467,            0.065852,           0.0055838,            0.008449,            0.008449,            0.008449
                  49,            0.060623,            0.046645,            0.006172,             0.94187,             0.78717,             0.85107,             0.54888,            0.053442,            0.066399,           0.0056233,            0.008416,            0.008416,            0.008416
                  50,            0.060246,            0.046506,           0.0061394,             0.94071,             0.78569,             0.84616,             0.54966,             0.05344,            0.065539,           0.0055746,            0.008383,            0.008383,            0.008383
                  51,            0.060091,            0.046608,           0.0062065,             0.94341,             0.79034,             0.85414,             0.55324,            0.053101,            0.065875,           0.0055696,             0.00835,             0.00835,             0.00835
                  52,            0.060128,             0.04663,           0.0061621,              0.9452,              0.7849,             0.85083,               0.548,            0.053408,            0.066142,           0.0055711,            0.008317,            0.008317,            0.008317
                  53,            0.059619,            0.045759,           0.0061202,             0.94085,             0.78826,              0.8473,             0.54532,            0.053315,            0.065874,           0.0055366,            0.008284,            0.008284,            0.008284
                  54,            0.060256,            0.047044,           0.0061749,             0.93986,             0.79176,             0.85158,             0.55106,            0.053056,            0.065286,           0.0055219,            0.008251,            0.008251,            0.008251
                  55,            0.059935,            0.046629,           0.0060927,             0.93579,             0.79246,             0.85126,              0.5478,            0.053178,            0.065615,            0.005499,            0.008218,            0.008218,            0.008218
                  56,            0.059559,            0.046024,           0.0060572,              0.9423,              0.7942,             0.85203,             0.55317,            0.053041,            0.065744,           0.0055278,            0.008185,            0.008185,            0.008185
                  57,            0.059828,            0.045769,            0.006115,             0.94311,             0.79193,             0.85752,             0.55827,            0.052819,            0.066199,           0.0055289,            0.008152,            0.008152,            0.008152
                  58,            0.059845,            0.046578,            0.006115,             0.94084,             0.79501,             0.85522,             0.55202,            0.052825,            0.065884,           0.0055086,            0.008119,            0.008119,            0.008119
                  59,            0.059026,            0.044941,           0.0060131,             0.94394,             0.79414,              0.8577,             0.55632,            0.052945,            0.065833,            0.005467,            0.008086,            0.008086,            0.008086
                  60,            0.059227,            0.045485,           0.0060865,             0.93819,             0.79639,             0.85382,             0.55438,            0.052837,            0.065554,           0.0054903,            0.008053,            0.008053,            0.008053
                  61,            0.059207,            0.045667,           0.0060665,             0.94138,             0.79651,             0.85665,             0.55702,            0.052703,            0.065485,            0.005484,             0.00802,             0.00802,             0.00802
                  62,            0.058768,            0.045209,           0.0060763,             0.94049,             0.79592,             0.85278,             0.55134,            0.053007,            0.065927,           0.0054546,            0.007987,            0.007987,            0.007987
                  63,            0.059077,            0.045335,           0.0060685,             0.94429,             0.79619,             0.85922,             0.55966,            0.052684,            0.065435,            0.005467,            0.007954,            0.007954,            0.007954
                  64,            0.059084,             0.04529,           0.0060696,             0.94147,             0.79585,             0.85514,             0.55819,            0.052545,             0.06525,           0.0054639,            0.007921,            0.007921,            0.007921
                  65,            0.058492,            0.045195,           0.0059723,             0.94644,             0.79573,             0.85791,             0.56098,            0.052689,            0.065201,           0.0054612,            0.007888,            0.007888,            0.007888
                  66,            0.058615,            0.045181,           0.0059568,             0.94216,             0.79937,             0.85713,             0.55914,            0.052537,            0.065677,           0.0054471,            0.007855,            0.007855,            0.007855
                  67,            0.058542,            0.044947,           0.0060337,             0.94433,             0.79496,             0.85602,              0.5584,             0.05254,            0.065611,           0.0054576,            0.007822,            0.007822,            0.007822
                  68,            0.058223,            0.044392,           0.0060042,             0.94382,             0.79858,             0.85927,             0.56177,            0.052404,            0.065257,           0.0054371,            0.007789,            0.007789,            0.007789
