               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.062071,            0.044934,           0.0062572,             0.94299,             0.75526,             0.83167,              0.5418,            0.053561,            0.059555,           0.0056384,            0.008845,            0.008845,            0.008845
                  37,            0.062019,            0.044629,           0.0061972,             0.94507,             0.75383,             0.82729,             0.54123,            0.053719,            0.059367,           0.0056855,            0.008812,            0.008812,            0.008812
                  38,            0.061842,            0.043935,           0.0061882,             0.94118,              0.7546,             0.82668,             0.54051,            0.053572,            0.059325,           0.0056161,            0.008779,            0.008779,            0.008779
                  39,            0.061468,            0.043565,            0.006213,              0.9433,             0.75522,              0.8277,             0.54088,            0.053601,            0.059019,           0.0055794,            0.008746,            0.008746,            0.008746
                  40,            0.061182,            0.043958,           0.0061381,             0.94415,             0.75656,             0.83155,             0.54207,            0.053627,            0.059601,           0.0055826,            0.008713,            0.008713,            0.008713
                  41,            0.061489,            0.043645,           0.0061765,             0.94197,             0.76192,             0.83178,             0.54436,            0.053388,            0.059302,           0.0056016,             0.00868,             0.00868,             0.00868
                  42,            0.060795,            0.043218,           0.0060989,             0.94406,             0.76137,              0.8339,             0.55079,            0.053068,            0.058411,           0.0055609,            0.008647,            0.008647,            0.008647
                  43,            0.060875,            0.043279,           0.0061648,             0.94923,             0.75666,             0.83088,             0.54425,            0.053524,            0.059308,           0.0055796,            0.008614,            0.008614,            0.008614
                  44,            0.060959,            0.044054,           0.0061426,             0.94391,             0.75774,             0.83703,             0.54764,            0.053138,            0.058966,           0.0055331,            0.008581,            0.008581,            0.008581
                  45,             0.06047,            0.043019,           0.0061092,             0.94084,              0.7672,             0.83474,             0.54323,            0.053223,            0.060002,           0.0055327,            0.008548,            0.008548,            0.008548
                  46,            0.060607,             0.04337,           0.0060913,             0.94503,             0.76164,             0.83257,             0.55032,            0.052944,            0.058567,           0.0055657,            0.008515,            0.008515,            0.008515
                  47,            0.060824,            0.043551,            0.006098,             0.95061,             0.75906,             0.83478,             0.54756,            0.053055,            0.059354,           0.0055339,            0.008482,            0.008482,            0.008482
                  48,            0.060681,            0.043241,           0.0060667,             0.94775,             0.76527,             0.83774,             0.55158,            0.052819,            0.058977,           0.0054854,            0.008449,            0.008449,            0.008449
                  49,            0.060499,            0.043033,           0.0060242,             0.94991,             0.76101,             0.83552,             0.54557,            0.053143,            0.059247,           0.0055062,            0.008416,            0.008416,            0.008416
                  50,            0.059954,            0.043089,           0.0060261,             0.94171,             0.76714,             0.83468,             0.54918,            0.052865,            0.059425,           0.0054849,            0.008383,            0.008383,            0.008383
                  51,            0.060467,            0.043538,           0.0060784,             0.94854,             0.76289,             0.83715,             0.55216,             0.05282,            0.058988,           0.0054949,             0.00835,             0.00835,             0.00835
