               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.055473,             0.04369,           0.0055092,             0.93724,             0.75804,             0.82963,              0.5439,            0.048624,            0.057739,           0.0050305,            0.008845,            0.008845,            0.008845
                  37,            0.055789,            0.043512,           0.0054092,             0.94389,             0.75682,              0.8324,             0.54297,            0.048824,            0.058373,           0.0050414,            0.008812,            0.008812,            0.008812
                  38,            0.055336,            0.042752,           0.0054172,             0.93692,             0.75772,             0.82514,             0.54263,            0.048483,            0.057399,           0.0049763,            0.008779,            0.008779,            0.008779
                  39,            0.055249,            0.042458,           0.0054466,             0.94224,             0.75881,             0.83279,             0.54553,            0.048346,            0.057491,           0.0049414,            0.008746,            0.008746,            0.008746
                  40,            0.054725,            0.042714,           0.0053744,             0.94076,             0.75697,             0.83555,             0.54958,            0.048133,            0.057278,           0.0049758,            0.008713,            0.008713,            0.008713
                  41,            0.055118,            0.042544,            0.005408,             0.94544,             0.75663,             0.82858,             0.53929,            0.048464,            0.057702,           0.0049866,             0.00868,             0.00868,             0.00868
                  42,             0.05446,            0.042042,           0.0053328,             0.94294,             0.75882,             0.83615,              0.5516,            0.048006,            0.057118,           0.0049263,            0.008647,            0.008647,            0.008647
                  43,             0.05443,            0.041995,           0.0053813,             0.95071,             0.76017,             0.83461,             0.54842,             0.04823,            0.057911,           0.0049066,            0.008614,            0.008614,            0.008614
                  44,            0.054408,            0.042748,            0.005378,             0.94652,             0.75883,             0.83902,             0.55615,             0.04783,            0.056576,           0.0049589,            0.008581,            0.008581,            0.008581
                  45,            0.054217,            0.041857,           0.0053233,             0.94564,             0.75897,             0.83198,             0.54625,            0.048072,            0.057387,           0.0048861,            0.008548,            0.008548,            0.008548
                  46,            0.054349,            0.042305,           0.0053033,             0.94634,             0.75291,             0.83175,             0.54838,            0.048115,            0.057467,            0.004889,            0.008515,            0.008515,            0.008515
                  47,            0.054188,            0.042164,           0.0053152,             0.94664,             0.75924,             0.83547,             0.54777,            0.048119,            0.057444,           0.0048932,            0.008482,            0.008482,            0.008482
                  48,            0.054299,            0.041978,           0.0053023,             0.94457,             0.76144,             0.83827,             0.55651,            0.047568,             0.05723,           0.0048727,            0.008449,            0.008449,            0.008449
                  49,            0.053637,            0.041556,           0.0052364,             0.94713,             0.75809,             0.83693,             0.55157,              0.0478,            0.057392,           0.0049214,            0.008416,            0.008416,            0.008416
                  50,            0.053727,            0.041961,           0.0052475,             0.94672,             0.76392,             0.83679,             0.54986,            0.047829,            0.057272,           0.0048785,            0.008383,            0.008383,            0.008383
                  51,            0.054122,             0.04239,           0.0052918,             0.94525,             0.76447,             0.83585,             0.54939,             0.04786,            0.057641,           0.0048978,             0.00835,             0.00835,             0.00835
                  52,            0.053372,               0.042,           0.0052527,             0.94952,             0.75648,              0.8351,             0.55061,            0.047776,            0.057495,            0.004872,            0.008317,            0.008317,            0.008317
                  53,             0.05331,            0.041699,           0.0052386,             0.94698,             0.76035,             0.83629,             0.55358,            0.047486,            0.057208,           0.0048462,            0.008284,            0.008284,            0.008284
                  54,            0.053601,            0.041872,           0.0052732,             0.95182,             0.76283,              0.8378,             0.55288,            0.047728,            0.057438,           0.0048499,            0.008251,            0.008251,            0.008251
                  55,            0.053463,            0.041983,           0.0052136,             0.95186,             0.76151,             0.83514,             0.55282,            0.047543,            0.056701,           0.0048165,            0.008218,            0.008218,            0.008218
                  56,            0.053051,            0.041282,           0.0051818,             0.95027,             0.76559,             0.84285,             0.55406,            0.047531,            0.057556,           0.0048094,            0.008185,            0.008185,            0.008185
                  57,            0.053088,            0.040999,           0.0051927,             0.95114,             0.76403,             0.84262,             0.56033,            0.047299,             0.05647,           0.0047881,            0.008152,            0.008152,            0.008152
                  58,            0.053383,            0.041925,           0.0052591,             0.95012,             0.76206,             0.83684,             0.54606,            0.047866,            0.058364,           0.0048402,            0.008119,            0.008119,            0.008119
                  59,            0.052768,            0.040497,           0.0051885,             0.95067,             0.76365,             0.84096,             0.55412,            0.047533,            0.057107,           0.0047726,            0.008086,            0.008086,            0.008086
                  60,            0.052745,            0.040863,           0.0051778,             0.95048,              0.7697,             0.84234,             0.55604,            0.047438,            0.056956,           0.0047946,            0.008053,            0.008053,            0.008053
                  61,            0.053017,            0.041009,           0.0052358,             0.95225,             0.76633,             0.84126,             0.55604,            0.047333,            0.056938,           0.0048119,             0.00802,             0.00802,             0.00802
                  62,            0.052609,            0.040648,           0.0051951,              0.9547,             0.76472,             0.84294,             0.56372,             0.04712,             0.05603,           0.0047674,            0.007987,            0.007987,            0.007987
                  63,            0.052967,            0.040872,           0.0052197,             0.95356,             0.76896,             0.84485,             0.56018,            0.047083,            0.056938,           0.0047792,            0.007954,            0.007954,            0.007954
                  64,             0.05258,             0.04058,           0.0051734,             0.95495,             0.76397,             0.84181,             0.55661,            0.047256,            0.056802,           0.0047543,            0.007921,            0.007921,            0.007921
                  65,             0.05241,            0.040652,            0.005108,             0.95351,             0.76497,             0.84357,             0.56087,            0.047145,            0.056815,           0.0047752,            0.007888,            0.007888,            0.007888
                  66,            0.052134,            0.040326,           0.0051036,             0.95395,             0.76895,             0.84566,             0.56064,            0.047122,            0.057298,           0.0047569,            0.007855,            0.007855,            0.007855
                  67,             0.05246,            0.040294,           0.0051902,             0.95186,             0.76929,             0.84583,             0.56352,            0.046955,            0.056302,            0.004745,            0.007822,            0.007822,            0.007822
                  68,            0.051943,            0.039693,           0.0051183,             0.95204,             0.76473,             0.84194,             0.55694,            0.047246,            0.057337,           0.0047864,            0.007789,            0.007789,            0.007789
                  69,            0.051564,            0.039802,           0.0050855,             0.95193,              0.7686,              0.8437,             0.55783,            0.047249,            0.057117,           0.0047077,            0.007756,            0.007756,            0.007756
                  70,            0.052168,            0.040149,           0.0051302,             0.95027,             0.76587,             0.83676,             0.54771,            0.047651,            0.057801,           0.0048004,            0.007723,            0.007723,            0.007723
                  71,            0.051675,             0.04001,           0.0050702,             0.95605,             0.76726,             0.84583,             0.56733,            0.046717,            0.055848,           0.0047139,             0.00769,             0.00769,             0.00769
                  72,            0.051954,            0.039927,           0.0050882,             0.95641,             0.76947,             0.84763,             0.56731,            0.046745,            0.056223,           0.0047238,            0.007657,            0.007657,            0.007657
                  73,            0.051485,             0.03991,           0.0050536,             0.95333,             0.76976,             0.84323,             0.56118,            0.046961,            0.056792,           0.0047197,            0.007624,            0.007624,            0.007624
                  74,            0.051648,            0.039895,           0.0050814,             0.95358,             0.77045,             0.84324,             0.55919,             0.04709,            0.056656,           0.0047089,            0.007591,            0.007591,            0.007591
                  75,            0.051738,            0.039937,           0.0050656,             0.95352,             0.77292,             0.84586,             0.56165,            0.046885,            0.056655,           0.0047122,            0.007558,            0.007558,            0.007558
                  76,            0.051115,            0.039466,           0.0050177,             0.95559,             0.76714,             0.84539,              0.5607,             0.04702,             0.05711,           0.0047508,            0.007525,            0.007525,            0.007525
                  77,            0.051471,            0.039675,           0.0050224,             0.95639,             0.76723,             0.84655,             0.56546,            0.046794,            0.056896,           0.0046964,            0.007492,            0.007492,            0.007492
                  78,            0.050951,            0.038925,           0.0050304,             0.95239,             0.77711,             0.85005,             0.56572,            0.046688,            0.057003,            0.004703,            0.007459,            0.007459,            0.007459
