               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03741,            0.015598,           0.0030101,             0.93745,             0.81699,             0.88198,             0.56169,             0.03455,            0.023048,           0.0028337,            0.008845,            0.008845,            0.008845
                  37,            0.037629,            0.015514,           0.0029645,              0.9358,             0.82162,             0.88189,             0.55936,             0.03465,            0.022978,           0.0028155,            0.008812,            0.008812,            0.008812
                  38,            0.037164,            0.015052,           0.0030035,             0.93596,             0.81813,             0.87903,             0.55837,            0.034876,            0.023008,           0.0028031,            0.008779,            0.008779,            0.008779
                  39,            0.036974,            0.014939,           0.0030169,             0.93257,             0.82844,             0.88442,             0.56518,            0.034161,            0.022831,           0.0027674,            0.008746,            0.008746,            0.008746
                  40,            0.036689,            0.015161,           0.0029905,             0.93714,             0.82348,             0.88433,             0.56854,            0.034093,            0.022742,           0.0027514,            0.008713,            0.008713,            0.008713
                  41,            0.036876,            0.015061,           0.0029629,              0.9414,             0.82039,             0.88555,             0.56799,            0.034083,            0.022913,           0.0027706,             0.00868,             0.00868,             0.00868
                  42,            0.036241,            0.014775,           0.0029642,             0.93996,             0.82231,             0.88139,             0.56253,             0.03417,            0.022966,           0.0027699,            0.008647,            0.008647,            0.008647
                  43,            0.036189,            0.014755,           0.0029838,             0.93867,             0.82584,             0.88403,             0.56813,              0.0339,            0.022654,           0.0027279,            0.008614,            0.008614,            0.008614
                  44,            0.036523,            0.015001,           0.0029648,             0.93958,             0.82715,             0.88397,             0.56648,            0.034044,            0.022698,            0.002734,            0.008581,            0.008581,            0.008581
                  45,            0.036341,            0.014933,            0.003016,             0.93922,             0.82445,             0.88393,             0.56898,            0.033942,            0.022739,            0.002751,            0.008548,            0.008548,            0.008548
                  46,            0.036361,            0.014953,           0.0028975,             0.94121,              0.8215,             0.88758,             0.56821,             0.03394,            0.022981,            0.002747,            0.008515,            0.008515,            0.008515
                  47,            0.035901,            0.014922,           0.0028955,             0.94168,             0.82043,             0.88411,             0.56434,            0.034029,            0.023092,           0.0027257,            0.008482,            0.008482,            0.008482
                  48,             0.03627,            0.014966,           0.0029446,             0.94215,             0.82744,             0.88674,             0.57083,            0.033764,              0.0228,           0.0026927,            0.008449,            0.008449,            0.008449
                  49,             0.03605,            0.014819,           0.0029057,             0.94164,             0.82975,              0.8908,             0.57428,            0.033769,            0.022801,           0.0026894,            0.008416,            0.008416,            0.008416
                  50,             0.03572,            0.014842,            0.002842,             0.94118,             0.82531,             0.88627,             0.56952,            0.033892,            0.022816,           0.0026946,            0.008383,            0.008383,            0.008383
